# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
2827301 0.00069,1.11034,0.14038
2831871 -0.00455,1.12576,0.13019
2836435 -0.00658,1.13537,0.12790
2841252 -0.01273,1.14491,0.12859
2845815 -0.02466,1.16599,0.11667
2850624 -0.03316,1.17700,0.10629
2855184 -0.04214,1.17757,0.10265
2859995 -0.03845,1.16661,0.09953
2864552 -0.03521,1.15564,0.09690
2869359 -0.02908,1.13602,0.09777
2873914 -0.02344,1.11749,0.09348
2878474 -0.01697,1.10088,0.09113
2883281 -0.01212,1.08455,0.08730
2888323 -0.00628,1.05045,0.08905
2893165 -0.00760,1.03837,0.09212
2897729 -0.00103,1.00839,0.09579
2902543 -0.00042,0.98849,0.10925
2907105 0.00850,0.97334,0.11868
2911658 0.02471,0.94887,0.12840
2916469 0.04621,0.91900,0.13861
2921032 0.06495,0.92155,0.13454
2925845 0.07959,0.92302,0.13517
2930405 0.09201,0.92270,0.13903
2935215 0.09182,0.91673,0.13195
2939775 0.08429,0.90514,0.12398
2944335 0.07267,0.91403,0.10946
2949135 0.06089,0.92065,0.10898
2953690 0.03806,0.92280,0.09976
2958975 0.01462,0.92284,0.09696
2963533 -0.00396,0.92251,0.08920
2968335 -0.02478,0.93629,0.08626
2972890 -0.03929,0.94797,0.07837
2977442 -0.05491,0.95851,0.07789
2982251 -0.06145,0.96100,0.07594
2986804 -0.06433,0.96376,0.07298
2991612 -0.06605,0.96109,0.07154
2996169 -0.06799,0.94722,0.07807
3000977 -0.06567,0.94115,0.08672
3005579 -0.06673,0.93925,0.08404
3010138 -0.06075,0.92843,0.08582
3014946 -0.06121,0.92304,0.08563
3019509 -0.05962,0.90748,0.09117
3024318 -0.05618,0.89682,0.09665
3029358 -0.05468,0.89383,0.09913
3034163 -0.05245,0.89553,0.09959
3038722 -0.05293,0.89574,0.10132
3043523 -0.04838,0.88614,0.10334
3048083 -0.04121,0.86912,0.10837
3052639 -0.03161,0.85935,0.11849
3057450 -0.02958,0.84405,0.12329
3062005 -0.02694,0.84674,0.12374
3066814 -0.01806,0.84824,0.13375
3071369 -0.00632,0.84767,0.13762
3076179 0.00153,0.85216,0.13409
3080734 0.01292,0.85973,0.13591
3085298 0.01318,0.87522,0.13381
3090106 0.01717,0.88366,0.14010
3094666 0.02068,0.89266,0.14295
3099951 0.01741,0.89401,0.13755
3104508 0.02100,0.90128,0.14115
3109313 0.02104,0.90569,0.14135
