# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
232383261 0.92061,0.16094,-0.01167
232388315 0.94890,0.14456,-0.01268
232392890 0.96295,0.15471,-0.01680
232397718 1.01262,0.15407,-0.01982
232402298 1.07039,0.14078,-0.00407
232407124 1.09154,0.09757,0.01095
232411702 1.06814,0.08596,0.01415
232416535 1.02891,0.10039,0.01427
232421117 1.01144,0.11131,0.00764
232425946 1.00345,0.08867,0.01183
232430523 1.08749,0.11190,0.00568
232435103 0.95940,0.11038,0.09261
232439933 0.98820,0.04786,0.01697
232444512 0.95693,0.12757,0.02432
232449334 0.92022,0.11046,0.02127
232454395 0.91431,0.10855,0.02969
232459225 0.90224,0.09590,0.01413
232463807 0.86118,0.11601,0.00117
232468385 0.85275,0.12536,-0.01165
232473217 0.86216,0.12070,-0.02225
232477799 0.86832,0.11123,-0.02614
232482635 0.87721,0.12344,-0.02385
232487217 0.85563,0.10633,-0.00437
232492047 0.87095,0.15031,0.00228
232496629 0.94368,0.10125,-0.02727
232501211 0.89264,0.10109,-0.01046
232506046 0.82449,0.13097,-0.02235
232510625 1.24615,0.62698,-0.05213
232515455 1.10704,-0.10548,-0.01636
232520521 0.72897,-0.00883,0.11212
232525353 0.72156,0.33232,-0.03187
232529930 0.82030,0.32296,-0.01569
232534759 1.01373,0.06204,0.05260
232539338 1.00161,0.04338,0.08680
232543919 0.92041,0.19073,0.02669
232548749 0.86989,0.21657,0.02038
232553326 0.87325,0.15419,0.03716
232558154 0.93657,0.11858,0.06464
232562733 0.97301,0.11024,0.06620
232567561 0.95136,0.14342,0.06137
232572140 0.94254,0.17775,0.04906
232576723 0.96790,0.15982,0.05152
232581548 0.99182,0.13827,0.05156
232586123 0.99130,0.14546,0.03674
232591429 0.97597,0.17094,0.02553
232596009 0.95631,0.18438,0.02652
232600836 0.95837,0.19569,0.01386
232605417 0.97546,0.15641,0.01730
232609990 0.93543,0.16235,0.02464
232614819 0.90852,0.19028,0.00217
232619398 0.87057,0.14923,-0.01567
232624229 0.85776,0.17941,-0.00651
232628810 0.83795,0.18083,-0.01575
232633639 0.82899,0.14962,-0.03460
232638220 0.83639,0.15371,-0.03100
232642799 0.84859,0.15890,-0.04367
232647628 0.90588,0.12000,-0.03359
232652207 0.88585,0.14105,-0.01102
232657517 0.93888,0.15880,-0.02505
232662101 0.97491,0.14884,-0.00600
232666933 0.99960,0.12973,0.01690
232671516 0.97783,0.13866,0.02237
232676340 0.95992,0.14897,0.02116
232680916 0.94658,0.14864,0.03552
232685497 0.95440,0.14279,0.04536
232690328 0.95184,0.13859,0.03557
232694906 0.95101,0.14710,0.03870
232699736 0.95015,0.14112,0.02105
232704315 0.94401,0.15034,0.01411
232709142 0.95060,0.14712,0.00450
232713717 0.95837,0.14864,-0.00835
232718297 0.95267,0.14275,-0.01933
232723128 0.94538,0.14678,-0.02449
232728192 0.93835,0.13474,-0.04550
232733023 0.95931,0.13933,-0.05305
232737599 0.93635,0.12249,-0.04587
232742421 0.90952,0.04157,-0.04447
232746996 0.88602,0.14936,-0.05440
232751821 0.94403,0.18900,-0.03864
232756398 0.93660,0.13228,-0.03415
232760975 0.89061,0.16449,-0.02922
232765801 0.85073,0.19924,-0.02781
232770379 0.88121,0.13219,-0.03158
232775206 0.89973,0.16443,0.01820
232779782 0.96879,0.13593,0.00129
232784607 0.93971,0.16542,-0.00297
232789187 0.93442,0.17633,-0.00894
232794246 1.01201,0.17883,-0.02004
232799078 0.98794,0.10786,-0.00301
232803659 0.91605,0.11794,-0.01789
232808486 0.77847,0.23882,-0.03558
