# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:28.761860 -0.15625,0.69971,0.18945
03/27/20 20:05:28.771173 -0.12866,0.64136,0.19360
03/27/20 20:05:28.780495 -0.10156,0.64355,0.20215
03/27/20 20:05:28.789818 -0.09351,0.64355,0.21094
03/27/20 20:05:28.798893 -0.06982,0.66406,0.21216
03/27/20 20:05:28.808207 -0.05273,0.66504,0.20947
03/27/20 20:05:28.813561 -0.05371,0.67310,0.21655
03/27/20 20:05:28.822880 -0.05664,0.68774,0.21948
03/27/20 20:05:28.832186 -0.02515,0.73047,0.23242
03/27/20 20:05:28.841293 0.01270,0.75684,0.24316
03/27/20 20:05:28.850605 0.02686,0.77588,0.26514
03/27/20 20:05:28.859915 0.04004,0.83057,0.27002
03/27/20 20:05:28.869225 0.05103,0.87866,0.26611
03/27/20 20:05:28.878532 0.03882,0.92847,0.25195
03/27/20 20:05:28.887840 0.02051,1.00122,0.23999
03/27/20 20:05:28.897152 0.00928,1.04517,0.23901
03/27/20 20:05:28.906212 0.00244,1.07153,0.23853
03/27/20 20:05:28.911560 -0.01636,1.08691,0.24951
03/27/20 20:05:28.920876 -0.02930,1.08594,0.25684
03/27/20 20:05:28.930189 -0.03076,1.07813,0.25684
03/27/20 20:05:28.939264 -0.03735,1.07202,0.28613
03/27/20 20:05:28.948580 -0.04688,1.08887,0.30200
03/27/20 20:05:28.957903 -0.06641,1.12500,0.27686
03/27/20 20:05:28.967226 -0.02539,1.13232,0.27441
03/27/20 20:05:28.976555 -0.00317,1.21606,0.23560
03/27/20 20:05:28.985870 -0.01416,1.28467,0.20605
03/27/20 20:05:28.995184 0.02441,1.36938,0.19141
03/27/20 20:05:29.004726 0.08643,1.43848,0.18018
03/27/20 20:05:29.014036 0.11182,1.44946,0.19678
03/27/20 20:05:29.023359 0.08887,1.40723,0.21094
03/27/20 20:05:29.032677 0.02588,1.35522,0.20190
03/27/20 20:05:29.042006 -0.02954,1.28467,0.18408
03/27/20 20:05:29.051317 -0.04541,1.20654,0.19995
03/27/20 20:05:29.060638 -0.06104,1.15308,0.20044
03/27/20 20:05:29.069714 -0.06348,1.11304,0.19751
03/27/20 20:05:29.079035 -0.05347,1.07349,0.19873
03/27/20 20:05:29.088350 -0.04443,1.04492,0.19751
03/27/20 20:05:29.093700 -0.03833,1.04395,0.19092
03/27/20 20:05:29.102768 -0.02051,1.06787,0.16699
03/27/20 20:05:29.112087 0.00586,1.12622,0.12988
03/27/20 20:05:29.121401 0.03418,1.15869,0.08472
03/27/20 20:05:29.130726 0.04395,1.16528,0.05591
03/27/20 20:05:29.140060 0.04272,1.17871,0.02051
03/27/20 20:05:29.149397 0.02686,1.15576,0.00537
03/27/20 20:05:29.158731 0.04077,1.12354,0.00122
03/27/20 20:05:29.167814 0.02319,1.07715,0.03638
