# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/24/20 16:47:34.374954 0.07275,1.15186,-0.02783
03/24/20 16:47:34.384277 0.08521,1.16870,-0.01733
03/24/20 16:47:34.393597 0.04761,1.08887,-0.02734
03/24/20 16:47:34.402912 0.05298,1.02930,-0.02100
03/24/20 16:47:34.411987 0.07813,1.02832,-0.01074
03/24/20 16:47:34.421303 0.06641,1.03198,0.00586
03/24/20 16:47:34.426659 0.05298,1.02393,-0.00122
03/24/20 16:47:34.435986 0.06226,0.99878,0.01074
03/24/20 16:47:34.445057 0.00342,1.00928,0.03271
03/24/20 16:47:34.454380 0.01245,1.04907,0.03320
03/24/20 16:47:34.463707 0.03687,1.05542,0.03125
03/24/20 16:47:34.473026 0.01978,1.00952,0.03516
03/24/20 16:47:34.482357 -0.00171,0.92627,0.02051
03/24/20 16:47:34.491676 0.00342,0.87036,-0.00220
03/24/20 16:47:34.500996 0.06226,0.91797,-0.01074
03/24/20 16:47:34.510063 0.06055,0.94775,-0.00537
03/24/20 16:47:34.515411 0.05688,0.94873,-0.00586
03/24/20 16:47:34.524738 0.04932,0.94629,-0.00439
03/24/20 16:47:34.534061 0.05151,0.94141,-0.01221
03/24/20 16:47:34.543121 0.06006,0.93384,-0.01025
03/24/20 16:47:34.552452 0.03882,0.91797,0.00415
03/24/20 16:47:34.561775 0.03906,0.94775,0.01294
03/24/20 16:47:34.571106 0.04858,0.97363,0.01978
03/24/20 16:47:34.580433 0.05273,1.02441,0.01978
03/24/20 16:47:34.589768 0.05566,1.04541,0.01221
03/24/20 16:47:34.599094 0.07422,1.03052,0.00146
03/24/20 16:47:34.608898 0.05957,0.99121,0.00000
03/24/20 16:47:34.617973 0.05762,0.97437,-0.01489
03/24/20 16:47:34.627300 0.08447,0.99072,-0.01025
03/24/20 16:47:34.636631 0.08179,0.98975,-0.00537
03/24/20 16:47:34.645958 0.06323,0.97949,-0.00928
03/24/20 16:47:34.655293 0.04932,0.98438,0.00781
03/24/20 16:47:34.664623 0.04077,0.99194,0.02075
03/24/20 16:47:34.673702 0.04150,0.97998,0.01587
03/24/20 16:47:34.683037 0.04541,0.96753,0.02295
03/24/20 16:47:34.692368 0.07056,0.98389,0.02490
03/24/20 16:47:34.697723 0.09717,1.00830,0.02930
03/24/20 16:47:34.707058 0.07275,1.01147,0.05322
03/24/20 16:47:34.716148 0.06079,0.98779,0.05200
03/24/20 16:47:34.725472 0.05396,0.97192,0.03564
03/24/20 16:47:34.734802 0.06494,0.96851,0.01416
03/24/20 16:47:34.744118 0.08569,0.97485,0.02173
03/24/20 16:47:34.753441 0.08618,0.96338,0.01904
03/24/20 16:47:34.762756 0.05713,0.91895,0.04150
03/24/20 16:47:34.772080 0.05420,0.91528,0.04980
03/24/20 16:47:34.781151 0.05347,0.91699,0.05176
03/24/20 16:47:34.786499 0.05762,0.91431,0.04639
03/24/20 16:47:34.795815 0.07129,0.91553,0.03882
03/24/20 16:47:34.805134 0.09814,0.92432,0.02344
03/24/20 16:47:34.814201 0.11401,0.94360,0.02539
03/24/20 16:47:34.823521 0.10913,0.95044,0.03882
03/24/20 16:47:34.832844 0.10107,0.96289,0.04004
03/24/20 16:47:34.842171 0.09082,0.96875,0.02344
03/24/20 16:47:34.851490 0.08960,0.97217,0.01025
03/24/20 16:47:34.860813 0.08447,0.96460,0.01074
03/24/20 16:47:34.870129 0.09302,0.98535,0.02075
03/24/20 16:47:34.879204 0.09497,1.02686,0.02490
03/24/20 16:47:34.884544 0.10352,1.03662,0.02441
03/24/20 16:47:34.893868 0.09229,1.03247,0.02246
03/24/20 16:47:34.903179 0.08667,1.00635,0.02588
03/24/20 16:47:34.912254 0.09131,0.98535,0.02539
03/24/20 16:47:34.921570 0.07617,0.96802,0.01880
03/24/20 16:47:34.930885 0.07813,0.93848,-0.00024
03/24/20 16:47:34.940201 0.10913,0.94678,-0.00928
03/24/20 16:47:34.949516 0.10767,0.94678,0.00195
03/24/20 16:47:34.958828 0.10571,0.95972,0.00635
03/24/20 16:47:34.968140 0.09961,0.96240,0.00879
03/24/20 16:47:34.977688 0.09131,0.98145,0.01367
03/24/20 16:47:34.987000 0.07544,0.96899,0.02295
03/24/20 16:47:34.996319 0.07813,0.96313,0.01709
03/24/20 16:47:35.005630 0.10522,0.97827,0.02393
03/24/20 16:47:35.014950 0.07666,0.98242,0.04199
03/24/20 16:47:35.024265 0.08496,0.99268,0.03320
03/24/20 16:47:35.033592 0.10303,1.01416,0.02979
03/24/20 16:47:35.042656 0.09863,0.99243,0.02734
03/24/20 16:47:35.051975 0.09473,0.97534,0.01172
03/24/20 16:47:35.061306 0.10400,0.97388,0.01221
03/24/20 16:47:35.066666 0.10938,0.97217,0.02441
03/24/20 16:47:35.075752 0.08252,0.95801,0.02539
03/24/20 16:47:35.085098 0.08032,0.94434,0.02368
03/24/20 16:47:35.094429 0.07275,0.93896,0.02783
03/24/20 16:47:35.103767 0.08252,0.94727,0.03638
03/24/20 16:47:35.113106 0.06836,0.94336,0.03247
03/24/20 16:47:35.122444 0.06055,0.91675,0.01392
03/24/20 16:47:35.131775 0.05908,0.89551,0.01074
03/24/20 16:47:35.140862 0.05225,0.89624,0.01440
03/24/20 16:47:35.150188 0.05884,0.90869,0.02344
03/24/20 16:47:35.155544 0.05615,0.91943,0.02319
03/24/20 16:47:35.164867 0.06250,0.95288,0.02441
03/24/20 16:47:35.174198 0.05151,0.94385,0.03467
03/24/20 16:47:35.183273 0.03735,0.93188,0.03418
03/24/20 16:47:35.192600 0.01343,0.91748,0.03369
03/24/20 16:47:35.201923 0.00537,0.89844,0.02197
03/24/20 16:47:35.211246 0.00635,0.90479,0.00928
03/24/20 16:47:35.220558 0.03052,0.94922,0.01978
03/24/20 16:47:35.229874 0.07178,1.01221,0.02979
03/24/20 16:47:35.239189 0.05347,1.03442,0.05078
03/24/20 16:47:35.248753 -0.01685,1.09424,0.07959
03/24/20 16:47:35.258080 0.00146,1.01758,0.00586
03/24/20 16:47:35.267410 0.02930,0.92236,-0.03931
03/24/20 16:47:35.276745 0.02441,0.84424,0.00342
03/24/20 16:47:35.286068 0.00928,0.86890,0.02686
03/24/20 16:47:35.295395 -0.01440,0.89526,0.00171
03/24/20 16:47:35.304729 -0.02319,0.93408,-0.00269
03/24/20 16:47:35.313828 -0.02881,0.98682,-0.00171
03/24/20 16:47:35.323177 0.17969,0.97070,0.07397
03/24/20 16:47:35.332531 0.31689,0.73291,0.26758
03/24/20 16:47:35.341885 0.21509,0.59570,0.15894
03/24/20 16:47:35.351723 0.45776,1.99976,-0.23218
03/24/20 16:47:35.361069 -0.47070,0.40283,-0.27197
03/24/20 16:47:35.370403 -0.16553,1.69092,-0.40674
03/24/20 16:47:35.379478 0.30396,1.15723,-0.06519
03/24/20 16:47:35.388802 0.03052,1.05029,0.03076
03/24/20 16:47:35.398125 0.04443,0.92920,-0.01831
03/24/20 16:47:35.407448 0.08398,0.92212,-0.02710
03/24/20 16:47:35.416763 0.04736,0.96045,-0.01196
03/24/20 16:47:35.426045 0.02979,0.91064,0.02783
03/24/20 16:47:35.435356 0.01392,0.92358,0.07910
03/24/20 16:47:35.444900 0.12695,0.81787,0.03125
03/24/20 16:47:35.454208 0.01270,0.93945,0.02222
03/24/20 16:47:35.463512 0.00171,0.97485,0.02441
03/24/20 16:47:35.472847 -0.05029,1.04761,-0.01221
03/24/20 16:47:35.482174 -0.01563,1.00977,-0.01416
03/24/20 16:47:35.491489 -0.00171,0.97021,0.02783
03/24/20 16:47:35.500816 -0.01660,0.96045,-0.01270
03/24/20 16:47:35.509907 -0.00293,0.93213,-0.05591
03/24/20 16:47:35.519238 0.00586,0.96460,-0.04883
03/24/20 16:47:35.528572 -0.02808,1.15820,0.03174
03/24/20 16:47:35.533932 0.00366,1.10376,0.05737
03/24/20 16:47:35.543018 0.07837,0.95435,-0.01636
03/24/20 16:47:35.552357 -0.05444,1.03809,-0.05298
03/24/20 16:47:35.561707 -0.05322,0.93384,0.12500
03/24/20 16:47:35.571049 0.19507,0.33472,0.09009
03/24/20 16:47:35.580383 0.04199,0.99756,-0.00024
03/24/20 16:47:35.589710 -0.00293,0.98999,0.01855
03/24/20 16:47:35.599045 -0.02295,1.01196,0.03906
03/24/20 16:47:35.608131 -0.01489,0.98486,0.00269
03/24/20 16:47:35.617458 -0.02637,1.00391,0.00244
03/24/20 16:47:35.622818 -0.01758,1.02026,-0.00171
03/24/20 16:47:35.632156 -0.00342,1.00195,0.00244
03/24/20 16:47:35.641480 0.00342,0.97681,0.01929
03/24/20 16:47:35.650547 0.01318,1.00439,0.01367
03/24/20 16:47:35.659866 0.00952,0.97070,0.01758
03/24/20 16:47:35.669189 0.00977,0.96460,0.02734
03/24/20 16:47:35.678509 0.01660,0.95679,0.02734
03/24/20 16:47:35.687817 0.00464,0.98438,0.02881
03/24/20 16:47:35.697136 0.00317,0.96655,0.02246
03/24/20 16:47:35.706455 -0.00293,0.96655,0.01807
03/24/20 16:47:35.715984 -0.00122,0.96655,0.02759
03/24/20 16:47:35.725308 -0.00635,0.96948,0.02197
03/24/20 16:47:35.734623 -0.01416,0.97632,0.01636
03/24/20 16:47:35.743927 -0.00806,1.00244,0.00342
03/24/20 16:47:35.753246 -0.01025,0.98364,0.01172
03/24/20 16:47:35.762558 -0.00537,0.97900,0.01904
03/24/20 16:47:35.771862 0.00806,0.96143,0.03076
03/24/20 16:47:35.780922 0.01636,0.95215,0.02441
03/24/20 16:47:35.790230 0.00000,0.96655,0.01831
03/24/20 16:47:35.799542 -0.01025,0.99585,0.00732
03/24/20 16:47:35.804890 -0.01050,0.99927,0.00537
03/24/20 16:47:35.813942 -0.01440,0.99048,0.01025
03/24/20 16:47:35.823250 -0.00293,0.98462,0.00659
03/24/20 16:47:35.832550 -0.00879,0.97290,0.01367
03/24/20 16:47:35.841839 -0.00439,0.97388,0.01685
03/24/20 16:47:35.851158 -0.00635,0.97388,-0.00220
03/24/20 16:47:35.860474 -0.01538,0.97290,-0.00537
03/24/20 16:47:35.869778 0.00488,0.98975,0.04663
03/24/20 16:47:35.878834 -0.01123,0.99146,0.01416
03/24/20 16:47:35.888149 -0.01587,0.98828,0.00854
03/24/20 16:47:35.893498 -0.00928,0.99072,0.00830
03/24/20 16:47:35.902809 -0.00171,0.96948,0.01953
03/24/20 16:47:35.911869 0.00781,0.96338,0.02197
03/24/20 16:47:35.921185 0.00122,0.96289,0.02002
03/24/20 16:47:35.930462 -0.00537,0.97949,0.01538
03/24/20 16:47:35.939751 -0.00317,0.97803,0.01685
03/24/20 16:47:35.949070 -0.00366,0.97485,0.01587
03/24/20 16:47:35.958382 -0.00073,0.97388,0.01489
03/24/20 16:47:35.967686 -0.00781,0.98438,0.01807
03/24/20 16:47:35.976723 -0.00073,0.98340,0.01172
03/24/20 16:47:35.982071 -0.00586,0.97900,0.01538
03/24/20 16:47:35.991371 0.00342,0.96851,0.01978
03/24/20 16:47:36.000668 0.00537,0.97607,0.02222
03/24/20 16:47:36.009705 0.00488,0.97046,0.02124
03/24/20 16:47:36.018997 0.00732,0.96826,0.02148
03/24/20 16:47:36.028290 0.01074,0.96094,0.02637
03/24/20 16:47:36.037590 0.00635,0.96924,0.01880
03/24/20 16:47:36.046902 -0.00537,0.98608,0.01685
03/24/20 16:47:36.056198 -0.00635,0.98584,0.01221
03/24/20 16:47:36.065495 -0.00562,0.97656,0.01636
03/24/20 16:47:36.075005 -0.01221,0.99512,0.00928
03/24/20 16:47:36.084282 -0.01099,0.99048,0.01025
03/24/20 16:47:36.093590 -0.00879,0.98682,0.01318
03/24/20 16:47:36.102901 -0.00342,0.97510,0.01538
03/24/20 16:47:36.112183 -0.00024,0.97705,0.01807
03/24/20 16:47:36.121468 0.00293,0.97559,0.01758
03/24/20 16:47:36.130764 0.00488,0.97217,0.02051
03/24/20 16:47:36.139809 0.00195,0.97339,0.02002
03/24/20 16:47:36.149109 0.00635,0.97656,0.02075
03/24/20 16:47:36.158405 0.01440,0.96387,0.02173
03/24/20 16:47:36.163746 0.00732,0.96387,0.02295
03/24/20 16:47:36.172791 -0.00488,0.98145,0.01367
03/24/20 16:47:36.182087 0.00171,0.98047,0.01367
03/24/20 16:47:36.191387 0.02734,0.94336,0.02734
03/24/20 16:47:36.200687 0.03809,0.94434,-0.06470
03/24/20 16:47:36.210003 -0.03638,1.04370,-0.08301
03/24/20 16:47:36.219326 -0.06714,1.01392,0.01953
03/24/20 16:47:36.228634 0.05371,0.96875,0.07617
03/24/20 16:47:36.237701 -0.00830,0.94263,0.10400
03/24/20 16:47:36.247005 0.01831,0.95703,0.02832
03/24/20 16:47:36.256317 -0.08203,0.99243,0.00977
03/24/20 16:47:36.261669 -0.09131,1.02246,0.03394
03/24/20 16:47:36.270737 0.00537,0.97876,0.01855
03/24/20 16:47:36.280041 0.01367,0.95190,0.00513
