# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:39.339306 0.27380,-0.55273,-0.20908,-0.75882 -0.02859,0.82420,0.46667
03/10/20 14:40:39.348732 0.27362,-0.55231,-0.20806,-0.75947 -0.02713,0.83821,0.46506
03/10/20 14:40:39.358627 0.27341,-0.55156,-0.20705,-0.76036 -0.02291,0.84707,0.46323
03/10/20 14:40:39.368050 0.27313,-0.55076,-0.20622,-0.76127 -0.01684,0.86622,0.46204
03/10/20 14:40:39.377464 0.27286,-0.54992,-0.20545,-0.76218 -0.01797,0.87085,0.46323
03/10/20 14:40:39.386894 0.27267,-0.54888,-0.20466,-0.76321 -0.02252,0.87522,0.46494
03/10/20 14:40:39.396317 0.27247,-0.54779,-0.20388,-0.76428 -0.03007,0.86932,0.45447
03/10/20 14:40:39.405495 0.27228,-0.54660,-0.20323,-0.76537 -0.01741,0.85776,0.46778
03/10/20 14:40:39.415394 0.27210,-0.54514,-0.20277,-0.76659 -0.00473,0.84624,0.46804
03/10/20 14:40:39.424816 0.27193,-0.54385,-0.20259,-0.76762 -0.00929,0.84555,0.46611
03/10/20 14:40:39.434231 0.27175,-0.54256,-0.20261,-0.76859 -0.01868,0.83437,0.46160
03/10/20 14:40:39.443649 0.27167,-0.54011,-0.20250,-0.77037 -0.01576,0.81997,0.45876
03/10/20 14:40:39.453060 0.27161,-0.53744,-0.20246,-0.77227 -0.00980,0.82594,0.45522
03/10/20 14:40:39.462482 0.27151,-0.53497,-0.20249,-0.77401 -0.00008,0.82961,0.45562
03/10/20 14:40:39.472374 0.27137,-0.53316,-0.20254,-0.77529 0.00576,0.83802,0.45255
03/10/20 14:40:39.481545 0.27133,-0.53186,-0.20242,-0.77623 0.00151,0.84080,0.44862
03/10/20 14:40:39.490959 0.27126,-0.53048,-0.20208,-0.77728 -0.00088,0.86437,0.44645
03/10/20 14:40:39.500370 0.27116,-0.52904,-0.20153,-0.77844 -0.00603,0.89847,0.44495
03/10/20 14:40:39.509785 0.27115,-0.52711,-0.20082,-0.77994 0.01437,0.89933,0.45096
03/10/20 14:40:39.519192 0.27123,-0.52496,-0.20017,-0.78153 0.04303,0.90613,0.45466
03/10/20 14:40:39.529091 0.27137,-0.52146,-0.19924,-0.78405 0.05386,0.91065,0.46094
03/10/20 14:40:39.538513 0.27163,-0.51872,-0.19844,-0.78598 0.05019,0.89955,0.46426
03/10/20 14:40:39.547680 0.27205,-0.51725,-0.19788,-0.78695 0.04922,0.89032,0.46017
03/10/20 14:40:39.557087 0.27257,-0.51577,-0.19724,-0.78790 0.03998,0.85488,0.44456
03/10/20 14:40:39.566505 0.27303,-0.51427,-0.19661,-0.78888 0.03266,0.84924,0.43358
03/10/20 14:40:39.575932 0.27345,-0.51130,-0.19568,-0.79089 0.03875,0.83610,0.42923
03/10/20 14:40:39.585838 0.27381,-0.50778,-0.19462,-0.79329 0.03923,0.82471,0.43475
03/10/20 14:40:39.595257 0.27402,-0.50445,-0.19372,-0.79556 0.04421,0.82123,0.43721
03/10/20 14:40:39.604679 0.27415,-0.50095,-0.19288,-0.79793 0.04860,0.80994,0.43777
03/10/20 14:40:39.614102 0.27426,-0.49744,-0.19219,-0.80025 0.04624,0.81152,0.43285
03/10/20 14:40:39.623276 0.27430,-0.49397,-0.19166,-0.80251 0.03931,0.80706,0.43490
03/10/20 14:40:39.632690 0.27427,-0.49044,-0.19134,-0.80476 0.03303,0.79828,0.43256
03/10/20 14:40:39.642601 0.27422,-0.48665,-0.19130,-0.80708 0.04187,0.79057,0.42692
03/10/20 14:40:39.652027 0.27402,-0.48295,-0.19162,-0.80929 0.06280,0.77954,0.42762
03/10/20 14:40:39.661472 0.27367,-0.47923,-0.19216,-0.81149 0.09797,0.77364,0.44049
03/10/20 14:40:39.670898 0.27305,-0.47583,-0.19295,-0.81351 0.13062,0.80997,0.45004
03/10/20 14:40:39.680332 0.27080,-0.47331,-0.19568,-0.81508 0.16919,0.81039,0.46554
03/10/20 14:40:39.689781 0.26754,-0.46985,-0.19969,-0.81718 0.18381,0.80678,0.47385
03/10/20 14:40:39.699474 0.26614,-0.46605,-0.20146,-0.81938 0.17030,0.78960,0.47458
03/10/20 14:40:39.708920 0.26347,-0.46258,-0.20465,-0.82142 0.12891,0.81680,0.47361
