# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/26/20 14:24:21.223190 -0.12988,1.96606,0.30127
03/26/20 14:24:21.232265 -0.12231,1.72803,0.39941
03/26/20 14:24:21.241598 -0.05493,1.63940,0.34155
03/26/20 14:24:21.250937 0.08350,1.46826,0.28198
03/26/20 14:24:21.260265 0.25781,1.24878,0.38916
03/26/20 14:24:21.269587 0.53247,1.26611,0.59106
03/26/20 14:24:21.278904 0.36914,1.29321,0.55859
03/26/20 14:24:21.288214 0.31836,1.42310,0.60449
03/26/20 14:24:21.297762 0.24390,1.35889,0.61475
03/26/20 14:24:21.307079 0.26196,1.52783,0.65161
03/26/20 14:24:21.316401 0.29175,1.61963,0.54590
03/26/20 14:24:21.325720 0.49365,1.57031,0.55713
03/26/20 14:24:21.335037 0.20996,1.51025,0.56348
03/26/20 14:24:21.344362 0.02197,0.92871,0.25513
03/26/20 14:24:21.353683 0.25562,1.15137,0.30664
03/26/20 14:24:21.362749 0.42090,1.21558,0.52881
03/26/20 14:24:21.372061 0.31226,0.98242,0.49243
03/26/20 14:24:21.381371 0.19580,1.11646,0.37109
03/26/20 14:24:21.390686 0.22095,1.09131,0.45190
03/26/20 14:24:21.396032 0.19214,1.05688,0.53711
03/26/20 14:24:21.405096 0.05396,1.01147,0.65747
03/26/20 14:24:21.414412 0.00781,1.04126,0.39551
03/26/20 14:24:21.423721 0.06470,1.03174,0.43091
03/26/20 14:24:21.433031 0.06958,1.03174,0.40820
03/26/20 14:24:21.442347 0.09033,1.00659,0.45605
03/26/20 14:24:21.451662 0.13135,1.05688,0.52686
03/26/20 14:24:21.460733 0.06641,1.03394,0.43921
03/26/20 14:24:21.470058 0.09375,1.07104,0.39209
03/26/20 14:24:21.479378 0.14111,1.12866,0.40479
03/26/20 14:24:21.484730 0.13647,1.13696,0.42676
03/26/20 14:24:21.494055 0.05103,1.01074,0.37305
03/26/20 14:24:21.503136 0.01953,0.96240,0.30542
03/26/20 14:24:21.512459 0.05151,0.97754,0.27612
03/26/20 14:24:21.521778 0.11108,0.96582,0.33203
03/26/20 14:24:21.531101 0.17163,0.94531,0.32861
03/26/20 14:24:21.540419 0.19678,0.88184,0.30005
03/26/20 14:24:21.549746 0.31934,0.94531,0.25952
03/26/20 14:24:21.559078 0.28857,0.80322,0.29736
03/26/20 14:24:21.568157 0.71094,1.47852,0.46973
03/26/20 14:24:21.573515 -0.11841,1.39575,0.47314
03/26/20 14:24:21.582848 0.42676,1.22144,0.32153
03/26/20 14:24:21.592177 0.07837,1.36035,0.51318
03/26/20 14:24:21.601257 0.25708,1.16382,0.42188
03/26/20 14:24:21.610586 0.20215,1.02856,0.41748
03/26/20 14:24:21.619923 0.15723,0.98779,0.34204
03/26/20 14:24:21.629252 0.31274,0.90845,0.40454
03/26/20 14:24:21.638588 0.32227,0.93677,0.39990
03/26/20 14:24:21.647913 0.26929,0.86523,0.30444
03/26/20 14:24:21.657242 0.41699,1.07495,0.09619
03/26/20 14:24:21.666798 0.29932,0.89941,0.18091
03/26/20 14:24:21.676125 0.25610,0.71704,0.25781
03/26/20 14:24:21.685448 0.30542,0.80542,0.18262
03/26/20 14:24:21.694773 0.42065,0.81763,0.20850
03/26/20 14:24:21.704092 0.55957,0.80591,0.26538
03/26/20 14:24:21.713417 0.73486,0.85107,0.19849
03/26/20 14:24:21.722734 0.80640,0.90332,0.17261
03/26/20 14:24:21.731819 0.96045,0.96460,0.13989
03/26/20 14:24:21.741159 1.13916,1.04858,0.21265
03/26/20 14:24:21.750505 1.30859,1.08667,0.22339
03/26/20 14:24:21.755871 1.38208,1.10596,0.21143
